25,1,0,1,0,1,0.9973978996276855,Truck,0,5,24,10,18,11,4,21,23,12,22,1,8,9,19,17,3,16,15,2,7,14,20,6,13,0,Drones
25,1,1,1.0,30,1,1.1362881660461426,Truck,0,17,16,23,24,12,9,3,18,1,19,5,2,22,8,10,11,6,0,Drones,2-15-22,3-14-18,6-13-0,11-21-6,12-20-9,18-7-1,24-4-12
25,1,1,1.0,45,1,2.909862995147705,Truck,0,14,23,1,3,11,12,21,4,15,5,9,13,0,Drones,0-6-14,1-10-3,3-22-11,5-8-9,9-2-13,11-7-12,12-19-21,13-20-0,14-17-23,15-16-5,21-24-4,23-18-1
25,1,1,1.0,60,1,176.6975622177124,Truck,0,17,5,22,20,23,7,3,13,1,8,9,10,0,Drones,0-2-17,1-6-8,3-24-13,5-11-22,7-18-3,8-16-9,9-14-10,10-4-0,13-12-1,17-19-5,20-15-23,23-21-7
25,1,1,1.0,75,1,29.538236141204834,Truck,0,15,10,19,24,16,22,7,3,8,11,18,12,0,Drones,0-14-15,3-21-8,7-20-3,8-1-11,10-23-19,12-4-0,15-6-10,16-13-22,18-9-12,19-17-24,22-2-7,24-5-16
25,1,1,1.25,30,1,1.4811818599700928,Truck,0,16,19,15,13,14,20,21,6,18,8,4,24,1,12,17,7,11,23,3,5,0,Drones,1-2-12,3-9-5,4-10-24,21-22-6
25,1,1,1.25,45,1,7.62562894821167,Truck,0,21,8,7,2,11,14,13,19,16,12,1,10,0,Drones,0-6-21,1-5-10,2-18-11,7-3-2,8-15-7,10-17-0,11-4-14,12-22-1,13-9-19,14-24-13,16-23-12,21-20-8
25,1,1,1.25,60,1,75.77533102035522,Truck,0,8,4,7,18,12,21,14,6,13,16,15,19,0,Drones,0-10-8,4-22-7,6-24-13,7-1-18,8-9-4,12-23-21,13-20-16,14-5-6,15-2-19,16-17-15,19-3-0,21-11-14
25,1,1,1.25,75,1,42.841602087020874,Truck,0,19,20,4,18,1,23,14,10,15,16,24,3,0,Drones,0-2-19,1-11-23,3-8-0,4-17-18,10-7-15,14-5-10,15-22-16,16-6-24,19-21-20,20-12-4,23-9-14,24-13-3
25,1,1,1.5,30,1,25.74261498451233,Truck,0,5,22,12,13,14,23,4,16,9,15,10,7,1,19,2,20,3,8,24,0,Drones,8-18-24,9-17-15,16-21-9,22-11-12,24-6-0
25,1,1,1.5,45,1,22.332777976989746,Truck,0,21,7,16,23,13,12,5,1,8,24,14,3,0,Drones,0-17-21,1-18-8,3-10-0,5-9-1,7-6-16,8-22-24,12-20-5,13-2-12,14-15-3,16-4-23,21-19-7,24-11-14
25,1,1,1.5,60,1,108.22047686576843,Truck,0,19,18,20,12,2,17,6,24,21,1,11,22,0,Drones,0-15-19,1-4-11,2-7-17,6-16-24,11-23-22,12-14-2,17-10-6,18-8-20,19-5-18,20-9-12,21-13-1,22-3-0
25,1,1,1.5,75,1,259.36256289482117,Truck,0,21,9,6,17,7,11,4,22,14,15,8,18,0,Drones,0-13-21,4-19-22,6-12-17,7-5-11,8-24-18,9-2-6,11-3-4,14-16-15,15-20-8,18-1-0,21-10-9,22-23-14
25,1,1,1.75,30,1,114.23043990135193,Truck,0,14,5,19,10,11,21,12,24,15,4,1,16,6,20,13,2,7,8,0,Drones,5-18-19,8-23-0,10-22-11,14-3-5,15-9-4,24-17-15
